1|2|dessert| el postre|[ el pastel; la tarta; el dulce; la golosina; la crema; el helado]| My favorite dessert is chocolate cake.| Mi postre favorito es el pastel de chocolate.
1|2|vegetable| la verdura|[ la fruta; el plato; el legumbre; el brote; la ensalada; el hortaliza]| I eat vegetables every day.| Como verduras todos los días.
1|2|meat| la carne|[ el pollo; el pescado; el cerdo; la ternera; la vaca; el bistec]| I prefer red meat.| Prefiero la carne roja.
1|2|chicken| el pollo|[ la gallina; el ave; el pavo; el gallo; la pechuga; el muslo]| We are having chicken for dinner.| Vamos a cenar pollo.
1|2|fish| el pescado|[ el marisco; el pez; el salmón; la trucha; la merluza; el atún]| I like to eat fish.| Me gusta comer pescado.
1| 3| notebook| el cuaderno| [el caballo; la casa; la cama; el coche; la carta; el cuadro]| I write notes in my notebook.| Escribo notas en mi cuaderno.
1| 3| chair| la silla| [el sastre; el sol; el salto; la sal; el servicio; la salsa]| Please sit in the chair.| Por favor siéntate en la silla.
1|3|stomach| el estómago|[ la barriga; el abdomen; el vientre; la digestión; la panza; el ombligo]| My stomach hurts after eating.| Me duele el estómago después de comer.
1|3|liver| el hígado|[ el bazo; el riñón; la vesícula; el páncreas; el intestino; la digestión]| The liver helps detoxify the body.| El hígado ayuda a desintoxicar el cuerpo.
1| 3| clock| el reloj| [el radio; el repollo; la ruina; el rey; el rincón; el riesgo]| The clock is on the wall.| El reloj está en la pared.
1| 3| window| la ventana| [la viuda; el vaso; la vaca; el vecino; la victoria; el violín]| The window is open.| La ventana está abierta.
1| 3| pillow| la almohada| [el ala; el árbol; la aguja; el aire; el asunto; la avenida]| The pillow is soft and comfortable.| La almohada es suave y cómoda.
1| 3| cup| la taza| [la tienda; la tina; el tren; la torta; el tema; el trabajo]| She drank coffee from the cup.| Ella bebió café de la taza.
1| 3| bag| la bolsa| [la botella; el banco; el bocadillo; el buzón; el baúl; la bola]| He packed his clothes in the bag.| Empacó su ropa en la bolsa.
1| 3| paper| el papel| [el perro; la pluma; el plato; el pico; el peso; el puente]| I need paper to write.| Necesito papel para escribir.
1| 4| ball| la pelota| [el plato; la pizarra; la perla; el plomo; la poesía; la pintura]| They are playing with the ball.| Están jugando con la pelota.
1| 4| hat| el sombrero| [el sol; el sueño; el sueño; la serpiente; la sal; el saldo]| He wore a hat in the sun.| Él llevaba un sombrero bajo el sol.
1| 4| shirt| la camisa| [la silla; el sastre; el sol; la sombra; la seguridad; la sociedad]| I bought a new shirt today.| Compré una camisa nueva hoy.
1| 4| trousers| el pantalón| [la pluma; la pata; el punto; el pantaline; la piel; la plaza]| He wears trousers every day.| Él usa pantalones todos los días.
1|4|core| el núcleo|[ el centro; la base; la raíz; el corazón; el eje; el fondo]| The Earth's core is extremely hot.| El núcleo de la Tierra es extremadamente caliente.
1|4|dust| el polvo|[ la arena; la ceniza; el humo; el vapor; la niebla; el residuo]| The old books were covered in dust.| Los libros viejos estaban cubiertos de polvo.
1|4|lamp| la lámpara|[ el foco; la linterna; la luz; el farol; el bombillo; la antorcha]| She turned on the bedside lamp.| Encendió la lámpara de la mesilla de noche.
1|4|mold| el molde|[ la forma; el modelo; la matriz; el marco; el patrón; la figura]| The chef used a mold to shape the dessert.| El chef usó un molde para darle forma al postre.
1|4|path| el camino|[ la senda; la ruta; el trayecto; el paso; la vía; el corredor]| Follow the path to reach the summit.| Sigue el camino para llegar a la cima.
1|4|phase| la fase|[ el estado; el ciclo; el período; la etapa; el momento; el proceso]| The project is in its final phase.| El proyecto está en su fase final.
1| 5| mountain| la montaña| [la manzana; la máquina; la misión; el mundo; la mano; el museo]| The mountain is covered with snow.| La montaña está cubierta de nieve.
1| 5| sky| el cielo| [el cemento; la casa; la carne; el cuadro; el colibrí; la cebra]| The sky is clear today.| El cielo está claro hoy.
1| 5| city| la ciudad| [la cancha; el cabello; el caso; la ciudadela; el cierre; la canasta]| I live in the city center.| Vivo en el centro de la ciudad.
1|5|rod| la varilla|[ el palo; el tubo; la barra; el eje; el soporte; la línea]| The fisherman used a long rod to catch fish.| El pescador usó una varilla larga para pescar.
1|5|stack| la pila|[ el montón; el bloque; la torre; el grupo; el apilado; el conjunto]| He organized the books into a neat stack.| Organizó los libros en una pila ordenada.
1|5|arc| el  arco|[ el círculo; la curva; la línea; la flecha; el ángulo; el eje]| The rainbow formed a beautiful arc in the sky.| El arco iris formó un hermoso arco en el cielo.
1| 5| forest| el bosque| [el bono; el baile; la bodega; el barrio; el bisiesto; la bicicleta]| We went hiking in the forest.| Fuimos de excursión en el bosque.
1| 5| ocean| el océano| [la orilla; el ojo; el hombre; el orden; la ola; la operación]| The ocean is vast and deep.| El océano es vasto y profundo.
1| 5| desert| el desierto| [la dama; la diana; el daño; el deshielo; la danza; el dedo]| The desert is very dry.| El desierto está muy seco.
1| 5| cloud| la nube| [la niña; el nadador; el norte; la nada; la nariz; el negocio]| The cloud covered the sky.| La nube cubrió el cielo.
2| 6| volcano| el volcán| [la vaca; la vela; el vago; el vaso; el velo; la ventana]| The volcano erupted last night.| El volcán entró en erupción anoche.
2| 6| garden| el jardín| [el huevo; la hierba; la hoja; el huevo; el helado; la herida]| They are planting flowers in the garden.| Están plantando flores en el jardín.
2|6|band| la banda|[ el grupo; la orquesta; el conjunto; el coro; el equipo; el círculo]| The marching band performed during halftime.| La banda de marcha actuó durante el descanso.
2|6|bell| la campana|[ el timbre; la alarma; el gong; el reloj; la bocina; el sonido]| The bell rang loudly at noon.| La campana sonó fuerte al mediodía.
2|6|music| la música|[ la canción; el concierto; el ritmo; la melodía; el tema; la sinfonía]| I listen to music every day.| Escucho música todos los días.
2|6|piano| el piano|[ el órgano; el teclado; la guitarra; el xilófono; la flauta; el clarinete]| I can play the piano.| Puedo tocar el piano.
2|6|violin| el violín|[ la guitarra; la viola; el cello; la flauta; el bajo; el trombón]| I want to learn to play the violin.| Quiero aprender a tocar el violín.
2|6|drink| la bebida|[ el refresco; el trago; la copa; la cerveza; el jugo; el vino]| I need a drink.| Necesito una bebida.
2|6|dessert| el postre|[ el pastel; la tarta; el dulce; la golosina; la crema; el helado]| My favorite dessert is chocolate cake.| Mi postre favorito es el pastel de chocolate.
2|6|fish| el pescado|[ el marisco; el pez; el salmón; la trucha; la merluza; el atún]| I like to eat fish.| Me gusta comer pescado.
2|7|knot| el nudo|[ la cuerda; el lazo; el hilo; el cordón; el amarre; el enlace]| He tied the rope into a secure knot.| Ató la cuerda con un nudo seguro.
2|7|limb| el miembro|[ la rama; la pierna; el brazo; el tronco; el ala; el apéndice]| The bird injured its limb during the flight.| El pájaro se lastimó el miembro durante el vuelo.
2|7|mist| la niebla|[ el humo; el vapor; la nube; el rocío; el polvo; la bruma]| The valley was covered in mist.| El valle estaba cubierto de niebla.
2|7|hair| el cabello|[ el pelo; el rizos; la melena; la cabellera; la peluca; el flequillo]| She has long hair.| Ella tiene el cabello largo.
2|7|hand| la mano|[ el brazo; el dedo; la palma; la muñeca; el antebrazo; la uña]| Raise your hand if you know the answer.| Levanta la mano si sabes la respuesta.
2|7|arm| el brazo|[ la pierna; el hombro; la muñeca; el codo; la mano; el antebrazo]| She broke her arm.| Ella se rompió el brazo.
2|7|leg| la pierna|[ el pie; el tobillo; el muslo; la rodilla; la cadera; el gemelo]| I hurt my leg while running.| Me lastimé la pierna mientras corría.
2|7|mouth| la boca|[ la lengua; los labios; la garganta; el diente; la encía; el paladar]| She opened her mouth to speak.| Ella abrió la boca para hablar.
2|7|injury| la herida|[ la lesión; el corte; el golpe; la fractura; el moretón; el daño]| He has an injury on his leg.| Él tiene una herida en la pierna.
2|7|rule| la regla|[ la norma; la directriz; el principio; el orden; la política; la pauta]| You must follow the rule.| Debes seguir la regla.
2|8|tier| el nivel|[ la capa; el rango; la sección; el estrato; la fila; el espacio]| The cake had three tiers.| El pastel tenía tres niveles.
2|8|weapon| el arma|[ la pistola; la espada; el fusil; el rifle; la munición; el cuchillo]| He carries a weapon for protection.| Lleva un arma para protección.
2|8|cell| la célula|[ el núcleo; el átomo; el tejido; la batería; el organismo; la molécula]| Every living organism is made of cells.| Todo organismo vivo está hecho de células.
2|8|plume| la pluma|[ la columna; el rastro; el humo; el vapor; la ola; la nube]| A plume of smoke rose from the chimney.| Una pluma de humo se elevó de la chimenea.
2|8|yarn| el hilo|[ la lana; el tejido; el cordón; la cuerda; el material; la fibra]| She used yarn to knit a sweater.| Usó hilo para tejer un suéter.
2|8|brim| el borde|[ la orilla; la copa; el límite; la curva; el contorno; la base]| Her hat had a wide brim.| Su sombrero tenía un borde ancho.
2|8|chop| el corte|[ la tajada; la rebanada; la picada; el pedazo; la fractura; la incisión]| He made a chop in the wood.| Hizo un corte en la madera.
2| 8| apple| la manzana| [el manana; la mazana; el mandolino; la makabre; el marlboro; la mama]| I like eating a red apple.| Me gusta comer una manzana roja.
2| 8| dog| el perro| [la perra; el padrino; la persona; el payaso; la pronto; el pavo]| The dog is barking loudly.| El perro está ladrando fuerte.
2| 8| house| la casa| [el cosa; la claro; el carne; la cucaracha; el collar; la caballo]| They live in a big house.| Ellos viven en una casa grande.
2| 9| book| el libro| [la lirio; el lento; la lanza; el lapiz; la luz; el luna]| She is reading a book.| Ella está leyendo un libro.
2| 9| car| el coche| [la campo; el cosa; la cara; el comida; la cabeza; el casa]| The car is parked outside.| El coche está estacionado afuera.
2| 9| tree| el árbol| [la alambre; el alma; la amor; el arroz; la arma; el arco]| A bird is sitting on the tree.| Un pájaro está sentado en el árbol.
2| 9| cat| el gato| [la guerra; el garra; la gorra; el gusano; la guapo; el grande]| The cat is drinking milk.| El gato está bebiendo leche.
2| 9| water| el agua| [la aguila; el amigo; la alemania; el anteojo; la ansia; el ayuda]| I need a glass of water.| Necesito un vaso de agua.
2| 9| phone| el teléfono| [la tierra; el tiempo; la texto; el talento; la talla; el tela]| My phone is ringing.| Mi teléfono está sonando.
2| 9| table| la mesa| [el monto; la madre; el maleta; la manta; el marzo; la madremia]| Put the book on the table.| Pon el libro sobre la mesa.
2| 9| airplane| el avión| [la año; el amigo; la ajo; el arte; la abogado; el acera]| The airplane is flying high.| El avión está volando alto.
2| 9| river| el río| [la rojo; el rana; la rueda; el roca; la rayo; el rey]| The river flows through the valley.| El río fluye por el valle.
2| 9| sun| el sol| [la silla; el sopa; la sonrisa; el secar; la suelo; el silbido]| The sun is shining brightly.| El sol brilla intensamente.
2| 10| school| la escuela| [el estrella; la escalera; el esmeralda; la escritura; el espada; la estrella]| The children are at school.| Los niños están en la escuela.
2| 10| doctor| el doctor| [la donde; el dolor; la dama; el dinero; la dibujo; el diente]| The doctor is treating a patient.| El doctor está tratando a un paciente.
2|10|dessert| el postre|[ el pastel; la tarta; el dulce; la golosina; la crema; el helado]| My favorite dessert is chocolate cake.| Mi postre favorito es el pastel de chocolate.
2|10|vegetable| la verdura|[ la fruta; el plato; el legumbre; el brote; la ensalada; el hortaliza]| I eat vegetables every day.| Como verduras todos los días.
2|10|meat| la carne|[ el pollo; el pescado; el cerdo; la ternera; la vaca; el bistec]| I prefer red meat.| Prefiero la carne roja.
2|10|chicken| el pollo|[ la gallina; el ave; el pavo; el gallo; la pechuga; el muslo]| We are having chicken for dinner.| Vamos a cenar pollo.
2|10|fish| el pescado|[ el marisco; el pez; el salmón; la trucha; la merluza; el atún]| I like to eat fish.| Me gusta comer pescado.
2| 10| notebook| el cuaderno| [el caballo; la casa; la cama; el coche; la carta; el cuadro]| I write notes in my notebook.| Escribo notas en mi cuaderno.
2| 10| chair| la silla| [el sastre; el sol; el salto; la sal; el servicio; la salsa]| Please sit in the chair.| Por favor siéntate en la silla.
2|10|stomach| el estómago|[ la barriga; el abdomen; el vientre; la digestión; la panza; el ombligo]| My stomach hurts after eating.| Me duele el estómago después de comer.
